(1/81) IF=0.25, IA=0.50, HL=5, FD=2: avg=289.25, sd= 26.83, hits=500, max=390
(2/81) IF=0.25, IA=0.50, HL=5, FD=3: avg=296.89, sd= 30.05, hits=500, max=400
(3/81) IF=0.25, IA=0.50, HL=5, FD=4: avg=393.21, sd= 80.89, hits=383, max=500
(4/81) IF=0.25, IA=0.50, HL=10, FD=2: avg=310.25, sd= 52.73, hits=500, max=426
(5/81) IF=0.25, IA=0.50, HL=10, FD=3: avg=300.86, sd= 83.47, hits=500, max=497
(6/81) IF=0.25, IA=0.50, HL=10, FD=4: avg=472.92, sd= 75.91, hits=86, max=500
(7/81) IF=0.25, IA=0.50, HL=15, FD=2: avg=347.63, sd=100.26, hits=498, max=500
(8/81) IF=0.25, IA=0.50, HL=15, FD=3: avg=369.05, sd=127.45, hits=323, max=500
(9/81) IF=0.25, IA=0.50, HL=15, FD=4: avg=496.62, sd= 27.73, hits=12, max=500
(10/81) IF=0.25, IA=0.60, HL=5, FD=2: avg=241.02, sd= 19.26, hits=500, max=307
(11/81) IF=0.25, IA=0.60, HL=5, FD=3: avg=253.02, sd= 26.87, hits=500, max=356
(12/81) IF=0.25, IA=0.60, HL=5, FD=4: avg=367.78, sd= 93.70, hits=399, max=500
(13/81) IF=0.25, IA=0.60, HL=10, FD=2: avg=259.45, sd= 39.34, hits=500, max=340
(14/81) IF=0.25, IA=0.60, HL=10, FD=3: avg=250.57, sd= 67.46, hits=500, max=412
(15/81) IF=0.25, IA=0.60, HL=10, FD=4: avg=470.51, sd= 71.68, hits=113, max=500
(16/81) IF=0.25, IA=0.60, HL=15, FD=2: avg=299.96, sd= 74.89, hits=500, max=414
(17/81) IF=0.25, IA=0.60, HL=15, FD=3: avg=324.88, sd=136.28, hits=374, max=500
(18/81) IF=0.25, IA=0.60, HL=15, FD=4: avg=492.05, sd= 51.32, hits=14, max=500
(19/81) IF=0.25, IA=0.70, HL=5, FD=2: avg=206.46, sd= 14.36, hits=500, max=258
(20/81) IF=0.25, IA=0.70, HL=5, FD=3: avg=216.82, sd= 24.59, hits=500, max=339
(21/81) IF=0.25, IA=0.70, HL=5, FD=4: avg=352.81, sd=103.92, hits=410, max=500
(22/81) IF=0.25, IA=0.70, HL=10, FD=2: avg=224.28, sd= 30.46, hits=500, max=284
(23/81) IF=0.25, IA=0.70, HL=10, FD=3: avg=212.43, sd= 53.28, hits=500, max=348
(24/81) IF=0.25, IA=0.70, HL=10, FD=4: avg=458.79, sd= 81.59, hits=153, max=500
